Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages,First_UdeA_Author,Año,Tipo,Autor(es),Artículo,Vol.,pág.,Revista,Grupo,Clasificación Colciencias,Factor de Impacto,Area,Cites,Simple,Estudiantes
2009,Internacional,"Duque, CM; Barseghyan, MG; Duque, CA; ",Physica B,404,5177.0,0921-4526,Hydrogenic impurity binding energy in vertically coupled Ga1-xAlxAs quantum-dots under hydrostatic pressure and applied electric field,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"0,822",,4.0,Carlos Duque Echeverri,2009,Internacional,"Duque, CM; Barseghyan, MG; Duque, CA; ",Hydrogenic impurity binding energy in vertically coupled Ga1-xAlxAs quantum-dots under hydrostatic pressure and applied electric field,404,5177.0,Physica B,GMC: Grupo de Materia Condensada,A1,"0,822",Teórica,14,hydrogenicimpuritybindingenergyinverticallycoupledga1xalxasquantumdotsunderhydrostaticpressureandappliedelectricfield,Desconocido
2003,Internacional,"López, SY; Porras‐Montenegro, N; Duque, CA; ",physica status solidi(c),0,648.0,1862-6351,"Effects of hydrostatic stress on the density of impurity states and donor‐related optical absorption spectra in GaAs–(Ga, Al) As quantum wells",,,GMC: Grupo de Materia Condensada,10.1002/pssc.200306174,,,Carlos Duque Echeverri,C,"-1,0",,4.0,Carlos Duque Echeverri,2003,Internacional,"López, SY; Porras‐Montenegro, N; Duque, CA; ","Effects of hydrostatic stress on the density of impurity states and donor‐related optical absorption spectra in GaAs–(Ga, Al) As quantum wells",0,648.0,physica status solidi(c),GMC: Grupo de Materia Condensada,C,"-1,0",Teórica,11,effectsofhydrostaticstressonthedensityofimpuritystatesanddonorrelatedopticalabsorptionspectraingaasgaalasquantumwells,Desconocido
2010,Internacional,"Barseghyan, MG; Hakimyfard, Alireza; López, SY; Duque, CA; Kirakosyan, AA; ",Physica E: Low-Dimensional Systems and Nanostructures,42,1618.0,1386-9477,Simultaneous effects of hydrostatic pressure and temperature on donor binding energy and photoionization cross section in Pöschl–Teller quantum well,,,GMC: Grupo de Materia Condensada,10.1016/j.physe.2010.01.008,,,Carlos Duque Echeverri,A1,"1,177",,5.0,Carlos Duque Echeverri,2010,Internacional,"Barseghyan, MG; Hakimyfard, Alireza; López, SY; Duque, CA; Kirakosyan, AA; ",Simultaneous effects of hydrostatic pressure and temperature on donor binding energy and photoionization cross section in Pöschl–Teller quantum well,42,1618.0,Physica E: Low-Dimensional Systems and Nanostructures,GMC: Grupo de Materia Condensada,A1,"1,177",Teórica,13,simultaneouseffectsofhydrostaticpressureandtemperatureondonorbindingenergyandphotoionizationcrosssectioninpschltellerquantumwell,Desconocido
2007,Internacional,"Mora-Ramos, ME; López, SY; Duque, CA; Velasco, VR; ",physica status solidi(c),4,418.0,1862-6351,current topics in solid state physics,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,C,"-1,0",,3.0,Carlos Duque Echeverri,2007,Internacional,"Mora-Ramos, ME; López, SY; Duque, CA; Velasco, VR; ",current topics in solid state physics,4,418.0,physica status solidi(c),GMC: Grupo de Materia Condensada,C,"-1,0",Teórica,23,currenttopicsinsolidstatephysics,Desconocido
2006,Internacional,"González, JW; Porras-Montenegro, N; Duque, CA; ",Brazilian Journal of Physics,36,944.0,0103-9733,Hydrostatic pressure and electric-field effects on the shallow donor impurity states in GaAs-Ga0. 7Al0. 3As quantum-well wires,,,GMC: Grupo de Materia Condensada,10.1590/s0103-97332006000600039,,,Carlos Duque Echeverri,A2,"0,512",,4.0,Carlos Duque Echeverri,2006,Internacional,"González, JW; Porras-Montenegro, N; Duque, CA; ",Hydrostatic pressure and electric-field effects on the shallow donor impurity states in GaAs-Ga0. 7Al0. 3As quantum-well wires,36,944.0,Brazilian Journal of Physics,GMC: Grupo de Materia Condensada,A2,"0,512",Teórica,5,hydrostaticpressureandelectricfieldeffectsontheshallowdonorimpuritystatesingaasga07al03asquantumwellwires,Desconocido
2010,Internacional,"Tangarife, E; Duque, CA; ",Physica Status Solidi B-Basic Research,247,1778.0,0370-1972,Shallow‐donor impurity in coupled GaAs/Ga1− xAlxAs quantum well wires: hydrostatic pressure and applied electric field effects,,,GMC: Grupo de Materia Condensada,10.1002/pssb.200945519,,,Carlos Duque Echeverri,A1,"1,15",,8.0,Carlos Duque Echeverri,2010,Internacional,"Tangarife, E; Duque, CA; ",Shallow‐donor impurity in coupled GaAs/Ga1− xAlxAs quantum well wires: hydrostatic pressure and applied electric field effects,247,1778.0,Physica Status Solidi B-Basic Research,GMC: Grupo de Materia Condensada,A1,"1,15",Teórica,5,shallowdonorimpurityincoupledgaasga1xalxasquantumwellwireshydrostaticpressureandappliedelectricfieldeffects,Edwin Tangarife Franco
2008,Internacional,"Oliveira, LE; de Dios-Leyva, M; Duque, CA; ",Microelectronics Journal,39,398.0,0026-2692,"Direct and indirect exciton states in GaAs-(Ga, Al) As double quantum wells under crossed electric and magnetic fields",,,GMC: Grupo de Materia Condensada,10.1016/j.mejo.2007.07.064,,,Carlos Duque Echeverri,A2,"0,859",,4.0,Carlos Duque Echeverri,2008,Internacional,"Oliveira, LE; de Dios-Leyva, M; Duque, CA; ","Direct and indirect exciton states in GaAs-(Ga, Al) As double quantum wells under crossed electric and magnetic fields",39,398.0,Microelectronics Journal,GMC: Grupo de Materia Condensada,A2,"0,859",Teórica,4,directandindirectexcitonstatesingaasgaalasdoublequantumwellsundercrossedelectricandmagneticfields,Desconocido
2011,Internacional,"Ungan, F; Kasapoglu, E; Duque, CA; Yesilgul, U; Şakiroglu, S; Sökmen, I; ",European Physical Journal B,80,89.0,1434-6028,The effects of the intense laser field on bound states in Ga x In1-x N y As1-y N/GaAs single quantum well,,,GMC: Grupo de Materia Condensada,10.1140/epjb/e2011-10902-y,,,Carlos Duque Echeverri,A1,"1,575",,5.0,Carlos Duque Echeverri,2011,Internacional,"Ungan, F; Kasapoglu, E; Duque, CA; Yesilgul, U; Şakiroglu, S; Sökmen, I; ",The effects of the intense laser field on bound states in Ga x In1-x N y As1-y N/GaAs single quantum well,80,89.0,European Physical Journal B,GMC: Grupo de Materia Condensada,A1,"1,575",Teórica,12,theeffectsoftheintenselaserfieldonboundstatesingaxin1xnyas1yngaassinglequantumwell,Desconocido
2007,Internacional,"Dios-Leyva, M de; Duque, CA; Oliveira, LE; ",Physical Review B,76,75303.0,1098-0121,"Semiconductors II: Surfaces, interfaces, microstructures, and related topics-Calculation of direct and indirect excitons in GaAs/Ga1-xAlxAs coupled double quantum wells: The effects of in-plane",,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"3,322",,1.0,Carlos Duque Echeverri,2007,Internacional,"Dios-Leyva, M de; Duque, CA; Oliveira, LE; ","Semiconductors II: Surfaces, interfaces, microstructures, and related topics-Calculation of direct and indirect excitons in GaAs/Ga1-xAlxAs coupled double quantum wells: The effects of in-plane",76,75303.0,Physical Review B,GMC: Grupo de Materia Condensada,A1,"3,322",Teórica,1,semiconductorsiisurfacesinterfacesmicrostructuresandrelatedtopicscalculationofdirectandindirectexcitonsingaasga1xalxascoupleddoublequantumwellstheeffectsofinplane,Desconocido
2007,Internacional,"Raigoza, N; Duque, CA; Oliveira, LE; ",Journal of Physics-Condensed Matter,19,256202.0,0953-8984,"Hydrostatic pressure and growth-direction magnetic field effects on the exciton states in coupled GaAs?(Ga, Al) As quantum wells",,,GMC: Grupo de Materia Condensada,10.1088/0953-8984/19/25/256202,,,Carlos Duque Echeverri,A1,"1,9",,-1.0,Carlos Duque Echeverri,2007,Internacional,"Raigoza, N; Duque, CA; Oliveira, LE; ","Hydrostatic pressure and growth-direction magnetic field effects on the exciton states in coupled GaAs?(Ga, Al) As quantum wells",19,256202.0,Journal of Physics-Condensed Matter,GMC: Grupo de Materia Condensada,A1,"1,9",Teórica,2,hydrostaticpressureandgrowthdirectionmagneticfieldeffectsontheexcitonstatesincoupledgaasgaalasquantumwells,Desconocido
2006,Internacional,"Duque, CA; Oliveira, LE; Dios-Leyva, M de; ",Brazilian Journal of Physics,36,1038.0,0103-9733,"Correlated electron-hole transitions in bulk GaAs and GaAs-(Ga, Al) As quantum wells: effects of applied electric and in-plane magnetic fields",,,GMC: Grupo de Materia Condensada,10.1590/S0103-97332006000600064,,,Carlos Duque Echeverri,A2,"0,512",,4.0,Carlos Duque Echeverri,2006,Internacional,"Duque, CA; Oliveira, LE; Dios-Leyva, M de; ","Correlated electron-hole transitions in bulk GaAs and GaAs-(Ga, Al) As quantum wells: effects of applied electric and in-plane magnetic fields",36,1038.0,Brazilian Journal of Physics,GMC: Grupo de Materia Condensada,A2,"0,512",Teórica,1,correlatedelectronholetransitionsinbulkgaasandgaasgaalasquantumwellseffectsofappliedelectricandinplanemagneticfields,Desconocido
2008,Internacional,"Rodriguez-Vargas, I; Mora-Ramos, ME; Duque, CA; ",Microelectronics Journal,39,438.0,0026-2692,Influence of the hydrostatic pressure onto the electronic and transport properties of n-type double δ-doped GaAs quantum wells,,,GMC: Grupo de Materia Condensada,10.1016/j.mejo.2007.07.022,,,Carlos Duque Echeverri,A2,"0,859",,4.0,Carlos Duque Echeverri,2008,Internacional,"Rodriguez-Vargas, I; Mora-Ramos, ME; Duque, CA; ",Influence of the hydrostatic pressure onto the electronic and transport properties of n-type double δ-doped GaAs quantum wells,39,438.0,Microelectronics Journal,GMC: Grupo de Materia Condensada,A2,"0,859",Teórica,3,influenceofthehydrostaticpressureontotheelectronicandtransportpropertiesofntypedoubledopedgaasquantumwells,Desconocido
1998,Internacional,"Duque, CA; Porras-Montenegro, N; Latgé, A; Oliveira, LE; ",Journal of Applied Physics,83,6199.0,0021-4922,Theoretical modeling of the photoluminescence spectra associated with free-carrier to acceptor-impurity recombination in quantum-size GaAs wire crystals,,,GMC: Grupo de Materia Condensada,10.1063/1.367494,,,Carlos Duque Echeverri,A1,"1,309",,3.0,Carlos Duque Echeverri,1998,Internacional,"Duque, CA; Porras-Montenegro, N; Latgé, A; Oliveira, LE; ",Theoretical modeling of the photoluminescence spectra associated with free-carrier to acceptor-impurity recombination in quantum-size GaAs wire crystals,83,6199.0,Journal of Applied Physics,GMC: Grupo de Materia Condensada,A1,"1,309",Teórica,3,theoreticalmodelingofthephotoluminescencespectraassociatedwithfreecarriertoacceptorimpurityrecombinationinquantumsizegaaswirecrystals,Desconocido
2011,Internacional,"Kasapoglu, E; Duque, CA; Sari, H; Sökmen, I; ",European Physical Journal B,82,13.0,1434-6028,Intense laser field effects on the linear and nonlinear intersubband optical properties of a semi-parabolic quantum well,,,GMC: Grupo de Materia Condensada,10.1140/epjb/e2011-20243-6,,,Carlos Duque Echeverri,A1,"1,575",,5.0,Carlos Duque Echeverri,2011,Internacional,"Kasapoglu, E; Duque, CA; Sari, H; Sökmen, I; ",Intense laser field effects on the linear and nonlinear intersubband optical properties of a semi-parabolic quantum well,82,13.0,European Physical Journal B,GMC: Grupo de Materia Condensada,A1,"1,575",Teórica,18,intenselaserfieldeffectsonthelinearandnonlinearintersubbandopticalpropertiesofasemiparabolicquantumwell,Desconocido
2010,Internacional,"Tangarife, E; Duque, CA; ",Applied Surface Science,256,7234.0,0169-4332,Combined effects of hydrostatic pressure and electric field on the donor binding energy and polarizability in laterally coupled double InAs/GaAs quantum-well wires,,,GMC: Grupo de Materia Condensada,10.1016/j.apsusc.2010.05.057,,,Carlos Duque Echeverri,A1,"1,616",,8.0,Carlos Duque Echeverri,2010,Internacional,"Tangarife, E; Duque, CA; ",Combined effects of hydrostatic pressure and electric field on the donor binding energy and polarizability in laterally coupled double InAs/GaAs quantum-well wires,256,7234.0,Applied Surface Science,GMC: Grupo de Materia Condensada,A1,"1,616",Teórica,6,combinedeffectsofhydrostaticpressureandelectricfieldonthedonorbindingenergyandpolarizabilityinlaterallycoupleddoubleinasgaasquantumwellwires,Edwin Tangarife Franco
2008,Internacional,"Duque, CA; de Dios-Leyva, M; Oliveira, LE; ",Microelectronics Journal,39,407.0,0026-2692,Exciton diamagnetic shift in GaAs/Ga1-xAlxAs quantum wells under in-plane magnetic fields,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A2,"0,859",,4.0,Carlos Duque Echeverri,2008,Internacional,"Duque, CA; de Dios-Leyva, M; Oliveira, LE; ",Exciton diamagnetic shift in GaAs/Ga1-xAlxAs quantum wells under in-plane magnetic fields,39,407.0,Microelectronics Journal,GMC: Grupo de Materia Condensada,A2,"0,859",Teórica,1,excitondiamagneticshiftingaasga1xalxasquantumwellsunderinplanemagneticfields,Desconocido
2000,Internacional,"Mora‐Ramos, ME; Duque, CA; ",Physica Status Solidi B-Basic Research,220,159.0,0370-1972,Polaron Free Energy in GaAs Quantum Wells,,,GMC: Grupo de Materia Condensada,10.1002/1521-3951(200007)220:1%3C159::AID-PSSB159%3E3.0.CO;2-H,,,Carlos Duque Echeverri,A1,"1,166",,4.0,Carlos Duque Echeverri,2000,Internacional,"Mora‐Ramos, ME; Duque, CA; ",Polaron Free Energy in GaAs Quantum Wells,220,159.0,Physica Status Solidi B-Basic Research,GMC: Grupo de Materia Condensada,A1,"1,166",Teórica,1,polaronfreeenergyingaasquantumwells,Desconocido
2008,Internacional,"Porras-Montenegro, N; Duque, CA; Reyes-Gómez, E; Oliveira, LE; ",Journal of Physics-Condensed Matter,20,465220.0,0953-8984,"Effects of hydrostatic pressure on the electron factor and g-factor anisotropy in GaAs–(Ga, Al) As quantum wells under magnetic fields",,,GMC: Grupo de Materia Condensada; GES: Estado Sólido,10.1088/0953-8984/20/46/465220,,,Carlos Duque Echeverri; Reyes Gómez Ernesto Amador,A1,"1,9",,-1.0,Carlos Duque Echeverri,2008,Internacional,"Porras-Montenegro, N; Duque, CA; Reyes-Gómez, E; Oliveira, LE; ","Effects of hydrostatic pressure on the electron factor and g-factor anisotropy in GaAs–(Ga, Al) As quantum wells under magnetic fields",20,465220.0,Journal of Physics-Condensed Matter,GMC: Grupo de Materia Condensada; GES: Estado Sólido,A1,"1,9",Experimental,4,effectsofhydrostaticpressureontheelectronfactorandgfactoranisotropyingaasgaalasquantumwellsundermagneticfields,Desconocido
2006,Internacional,"Raigoza, N; Morales, AL; Duque, CA; ",Brazilian Journal of Physics,36,350.0,0103-9733,Infinite potential barrier and hydrostatic pressure effects on impurity-related optical absorption spectra in GaAs double quantum wells,,,GMC: Grupo de Materia Condensada,10.1590/S0103-97332006000300031,,,Morales Aramburo Álvaro; Carlos Duque Echeverri,A2,"0,512",,4.0,Morales Aramburo Álvaro,2006,Internacional,"Raigoza, N; Morales, AL; Duque, CA; ",Infinite potential barrier and hydrostatic pressure effects on impurity-related optical absorption spectra in GaAs double quantum wells,36,350.0,Brazilian Journal of Physics,GMC: Grupo de Materia Condensada,A2,"0,512",Teórica,5,infinitepotentialbarrierandhydrostaticpressureeffectsonimpurityrelatedopticalabsorptionspectraingaasdoublequantumwells,Nicolás Fernando Raigoza Bohórquez
2007,Internacional,"Barticevic, Z; Pacheco, M; Duque, CA; Oliveira, LE; ",Journal of Physics-Condensed Matter,19,216224.0,0953-8984,Exciton diamagnetic shifts in GaAs–Ga1− xAlxAs quantum dots and ultrathin quantum wells,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"1,9",,-1.0,Carlos Duque Echeverri,2007,Internacional,"Barticevic, Z; Pacheco, M; Duque, CA; Oliveira, LE; ",Exciton diamagnetic shifts in GaAs–Ga1− xAlxAs quantum dots and ultrathin quantum wells,19,216224.0,Journal of Physics-Condensed Matter,GMC: Grupo de Materia Condensada,A1,"1,9",Teórica,2,excitondiamagneticshiftsingaasga1xalxasquantumdotsandultrathinquantumwells,Desconocido
2011,Internacional,"Restrepo, RL; Miranda, Guillermo L; Duque, CA; Mora-Ramos, ME; ",Journal of Luminescence,131,1016.0,0022-2313,Simultaneous effects of hydrostatic pressure and applied electric field on the impurity-related self-polarization in GaAs/Ga 1− x Al x As multiple quantum wells,,,GMC: Grupo de Materia Condensada,10.1016/j.jlumin.2011.01.014,,,Carlos Duque Echeverri,A1,"1,795",,6.0,Carlos Duque Echeverri,2011,Internacional,"Restrepo, RL; Miranda, Guillermo L; Duque, CA; Mora-Ramos, ME; ",Simultaneous effects of hydrostatic pressure and applied electric field on the impurity-related self-polarization in GaAs/Ga 1− x Al x As multiple quantum wells,131,1016.0,Journal of Luminescence,GMC: Grupo de Materia Condensada,A1,"1,795",Teórica,6,simultaneouseffectsofhydrostaticpressureandappliedelectricfieldontheimpurityrelatedselfpolarizationingaasga1xalxasmultiplequantumwells,Guillermo Miranda Pedraza; Ricardo León Restrepo Arango
2007,Nacional,"Aristizábal, Parménides; Restrepo, Ricardo León; Ospina, Walter Antonio; Duque, Carlos Alberto; ",Revista EIA,0,121.0,1794-1237,ENERGÍA DE ENLACE DE EXCITONES EN POZOS CUÁNTICOS DE GaAs/Ga1-xAl xAs,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A2,"-1,0",,6.0,Carlos Duque Echeverri,2007,Nacional,"Aristizábal, Parménides; Restrepo, Ricardo León; Ospina, Walter Antonio; Duque, Carlos Alberto; ",ENERGÍA DE ENLACE DE EXCITONES EN POZOS CUÁNTICOS DE GaAs/Ga1-xAl xAs,0,121.0,Revista EIA,GMC: Grupo de Materia Condensada,A2,"-1,0",Teórica,3,energadeenlacedeexcitonesenpozoscunticosdegaasga1xalxas,Desconocido
2009,Internacional,"Restrepo, RL; Giraldo, E; Miranda, GL; Ospina, W; Duque, CA; ",Physica B,404,5163.0,0921-4526,Hydrogenic donor impurity in parallel-triangular quantum wires: Hydrostatic pressure and applied electric field effects,,,GMC: Grupo de Materia Condensada,10.1016/j.physb.2009.08.282,,,Carlos Duque Echeverri,A1,"0,822",,4.0,Carlos Duque Echeverri,2009,Internacional,"Restrepo, RL; Giraldo, E; Miranda, GL; Ospina, W; Duque, CA; ",Hydrogenic donor impurity in parallel-triangular quantum wires: Hydrostatic pressure and applied electric field effects,404,5163.0,Physica B,GMC: Grupo de Materia Condensada,A1,"0,822",Teórica,3,hydrogenicdonorimpurityinparalleltriangularquantumwireshydrostaticpressureandappliedelectricfieldeffects,Guillermo Miranda Pedraza; Ricardo León Restrepo Arango
2007,Internacional,"Odhiambo Oyoko, H; Porras‐Montenegro, N; Lopez, SY; Duque, CA; ",physica status solidi(c),4,298.0,1862-6351,Comparative study of the hydrostatic pressure and temperature effects on the impurity‐related optical properties in single and double GaAs–Ga1–xAlxAs quantum wells,,,GMC: Grupo de Materia Condensada,10.1002/pssc.200673259,,,Carlos Duque Echeverri,C,"-1,0",,3.0,Carlos Duque Echeverri,2007,Internacional,"Odhiambo Oyoko, H; Porras‐Montenegro, N; Lopez, SY; Duque, CA; ",Comparative study of the hydrostatic pressure and temperature effects on the impurity‐related optical properties in single and double GaAs–Ga1–xAlxAs quantum wells,4,298.0,physica status solidi(c),GMC: Grupo de Materia Condensada,C,"-1,0",Teórica,2,comparativestudyofthehydrostaticpressureandtemperatureeffectsontheimpurityrelatedopticalpropertiesinsingleanddoublegaasga1xalxasquantumwells,Desconocido
2010,Internacional,"Hakimyfard, A; Barseghyan, MG; Duque, CA; Kirakosyan, AA; ",Journal of Contemporary Physics (Armenian Academy of Sciences),45,258.0,1068-3372,"Influence of electric field, hydrostatic pressure and temperature on the electronic states in a Pöschl-Teller quantum well",,,GMC: Grupo de Materia Condensada,10.3103/s1068337210060022,,,Carlos Duque Echeverri,A2,"0,0",,4.0,Carlos Duque Echeverri,2010,Internacional,"Hakimyfard, A; Barseghyan, MG; Duque, CA; Kirakosyan, AA; ","Influence of electric field, hydrostatic pressure and temperature on the electronic states in a Pöschl-Teller quantum well",45,258.0,Journal of Contemporary Physics (Armenian Academy of Sciences),GMC: Grupo de Materia Condensada,A2,"0,0",Teórica,1,influenceofelectricfieldhydrostaticpressureandtemperatureontheelectronicstatesinapschltellerquantumwell,Desconocido
2009,Internacional,"Porras‐Montenegro, N; Raigoza, N; Reyes‐Gómez, E; Duque, CA; Oliveira, LE; ",Physica Status Solidi B-Basic Research,246,648.0,0370-1972,Effects of hydrostatic pressure on the conduction‐electron g‐factor in GaAs–Ga1–xAlx As quantum wells,,,GES: Estado Sólido; GMC: Grupo de Materia Condensada,Not DOI,,,Reyes Gómez Ernesto Amador; Carlos Duque Echeverri,A1,"1,166",,4.0,Reyes Gómez Ernesto Amador,2009,Internacional,"Porras‐Montenegro, N; Raigoza, N; Reyes‐Gómez, E; Duque, CA; Oliveira, LE; ",Effects of hydrostatic pressure on the conduction‐electron g‐factor in GaAs–Ga1–xAlx As quantum wells,246,648.0,Physica Status Solidi B-Basic Research,GES: Estado Sólido; GMC: Grupo de Materia Condensada,A1,"1,166",Teórica,0,effectsofhydrostaticpressureontheconductionelectrongfactoringaasga1xalxasquantumwells,Desconocido
2009,Internacional,"Galeano, Carlos H; Duque, Carlos A; Tovar, Andrés; ",Revista Técnica de la Facultad de Ingeniería Universidad del Zulia,32,98.0,0254-0770,Herramienta computacional interactiva para el diseño óptimo de resortes helicoidales de tracción,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A2,"0,0",,11.0,Carlos Duque Echeverri,2009,Internacional,"Galeano, Carlos H; Duque, Carlos A; Tovar, Andrés; ",Herramienta computacional interactiva para el diseño óptimo de resortes helicoidales de tracción,32,98.0,Revista Técnica de la Facultad de Ingeniería Universidad del Zulia,GMC: Grupo de Materia Condensada,A2,"0,0",Teórica,0,herramientacomputacionalinteractivaparaeldiseoptimoderesorteshelicoidalesdetraccin,Desconocido
2009,Internacional,"MARTINEZ-OROZCO, JC; RODRIGUEZ-VARGAS, I; DUQUE, CA; MORA-RAMOS, ME; GAGGERO-SAGER, LM; ",Physica Status Solidi B-Basic Research,246,581.0,0370-1972,Study of the electronic properties basic solid state physics of GaAs-based atomic layer doped field effect transistor (ALD-FET) under the influence of hydrostatic pressure,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"1,166",,5.0,Carlos Duque Echeverri,2009,Internacional,"MARTINEZ-OROZCO, JC; RODRIGUEZ-VARGAS, I; DUQUE, CA; MORA-RAMOS, ME; GAGGERO-SAGER, LM; ",Study of the electronic properties basic solid state physics of GaAs-based atomic layer doped field effect transistor (ALD-FET) under the influence of hydrostatic pressure,246,581.0,Physica Status Solidi B-Basic Research,GMC: Grupo de Materia Condensada,A1,"1,166",Teórica,0,studyoftheelectronicpropertiesbasicsolidstatephysicsofgaasbasedatomiclayerdopedfieldeffecttransistoraldfetundertheinfluenceofhydrostaticpressure,Desconocido
2011,Internacional,"Barseghyan, MG; Mora-Ramos, ME; Duque, CA; ",European Physical Journal B,84,265.0,1434-6028,"Hydrostatic pressure, impurity position and electric and magnetic field effects on the binding energy and photo-ionization cross section of a hydrogenic donor impurity in an InAs Pöschl-Teller quantum ring",,,GMC: Grupo de Materia Condensada,10.1140/epjb/e2011-20650-7,,,Carlos Duque Echeverri,A1,"1,575",,7.0,Carlos Duque Echeverri,2011,Internacional,"Barseghyan, MG; Mora-Ramos, ME; Duque, CA; ","Hydrostatic pressure, impurity position and electric and magnetic field effects on the binding energy and photo-ionization cross section of a hydrogenic donor impurity in an InAs Pöschl-Teller quantum ring",84,265.0,European Physical Journal B,GMC: Grupo de Materia Condensada,A1,"1,575",Teórica,16,hydrostaticpressureimpuritypositionandelectricandmagneticfieldeffectsonthebindingenergyandphotoionizationcrosssectionofahydrogenicdonorimpurityinaninaspschltellerquantumring,Desconocido
2005,Nacional,"Sierra, Gregory Pujol; Duque, CA; Cepeda-Giraldo, O; Bedoya, JG; Lara-Quintero, M; ",Revista Colombiana de Física,37,183.0,0120-2650,"Efectos de la presión hidrostática sobre la recombinación electrón-hueco en pozos cuánticos de GaAs-(Ga, Al) As",,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,B,"-1,0",,4.0,Carlos Duque Echeverri,2005,Nacional,"Sierra, Gregory Pujol; Duque, CA; Cepeda-Giraldo, O; Bedoya, JG; Lara-Quintero, M; ","Efectos de la presión hidrostática sobre la recombinación electrón-hueco en pozos cuánticos de GaAs-(Ga, Al) As",37,183.0,Revista Colombiana de Física,GMC: Grupo de Materia Condensada,B,"-1,0",Teórica,0,efectosdelapresinhidrostticasobrelarecombinacinelectrnhuecoenpozoscunticosdegaasgaalas,Desconocido
2011,Internacional,"Kasapoglu, E; Duque, CA; Şakiroğlu, S; Sari, H; Sökmen, I; ",Physica E: Low-Dimensional Systems and Nanostructures,43,1427.0,1386-9477,The effects of the intense laser field on donor impurities in a cylindrical GaxIn1− xNyAs1− y/GaAs quantum dot under the electric field,,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,A1,"1,304",,6.0,Carlos Duque Echeverri,2011,Internacional,"Kasapoglu, E; Duque, CA; Şakiroğlu, S; Sari, H; Sökmen, I; ",The effects of the intense laser field on donor impurities in a cylindrical GaxIn1− xNyAs1− y/GaAs quantum dot under the electric field,43,1427.0,Physica E: Low-Dimensional Systems and Nanostructures,GMC: Grupo de Materia Condensada,A1,"1,304",Teórica,11,theeffectsoftheintenselaserfieldondonorimpuritiesinacylindricalgaxin1xnyas1ygaasquantumdotundertheelectricfield,Desconocido
2012,Internacional,"Martínez‐Orozco, JC; Mora‐Ramos, ME; Duque, CA; ",Physica Status Solidi B-Basic Research,249,146.0,0370-1972,The nonlinear optical absorption and corrections to the refractive index in a GaAs n‐type delta‐doped field effect transistor under hydrostatic pressure,,,GMC: Grupo de Materia Condensada,10.1002/pssb.201147301,,,Carlos Duque Echeverri,A1,"1,316",,7.0,Carlos Duque Echeverri,2012,Internacional,"Martínez‐Orozco, JC; Mora‐Ramos, ME; Duque, CA; ",The nonlinear optical absorption and corrections to the refractive index in a GaAs n‐type delta‐doped field effect transistor under hydrostatic pressure,249,146.0,Physica Status Solidi B-Basic Research,GMC: Grupo de Materia Condensada,A1,"1,316",Teórica,12,thenonlinearopticalabsorptionandcorrectionstotherefractiveindexinagaasntypedeltadopedfieldeffecttransistorunderhydrostaticpressure,Desconocido
2000,Internacional,"Ospina, W; Aristizabal, P; Restrepo, RL; Montes, A; Duque, CA; ",Physica Status Solidi B-Basic Research,220,131.0,0370-1972,Intraexcitonic Energy Transition in GaAs Quantum Wells,,,GMC: Grupo de Materia Condensada,10.1002/1521-3951(200007)220:1<131::aid-pssb131>3.3.co;2-b,,,Carlos Duque Echeverri,A1,"1,166",,5.0,Carlos Duque Echeverri,2000,Internacional,"Ospina, W; Aristizabal, P; Restrepo, RL; Montes, A; Duque, CA; ",Intraexcitonic Energy Transition in GaAs Quantum Wells,220,131.0,Physica Status Solidi B-Basic Research,GMC: Grupo de Materia Condensada,A1,"1,166",Teórica,1,intraexcitonicenergytransitioningaasquantumwells,Desconocido
2002,Nacional,"Duque, CA; Porras-Montenegro, N; Oyoko, HO; ",Revista Colombiana de Física,34,17.0,0120-2650,"Shallow Donor Impurities in GaAs-(Ga, Al) As Quantum Dots: The Uniaxial Stress and Temperature Dependencies",,,GMC: Grupo de Materia Condensada,Not DOI,,,Carlos Duque Echeverri,B,"-1,0",,-1.0,Carlos Duque Echeverri,2002,Nacional,"Duque, CA; Porras-Montenegro, N; Oyoko, HO; ","Shallow Donor Impurities in GaAs-(Ga, Al) As Quantum Dots: The Uniaxial Stress and Temperature Dependencies",34,17.0,Revista Colombiana de Física,GMC: Grupo de Materia Condensada,B,"-1,0",Teórica,1,shallowdonorimpuritiesingaasgaalasquantumdotstheuniaxialstressandtemperaturedependencies,Desconocido
