Article,Cites,Year
"Radiative neutrino masses in the singlet-doublet fermion dark matter model with scalar singletsD Restrepo, A Rivera, M Sánchez-Peláez, O Zapata, W Tangarife
Physical Review D 92 (1), 013005",9,2015
"Constraints on Circumbinary HabitabilityPA Mason, JI Zuluaga, AG Zhilkin, DV Bisikalo, PA Cuartas-Restrepo
Living Together: Planets, Host Stars and Binaries 496, 405",,2015
"La evolución de la físicaG Pineda
Revista Universidad de Antioquia",,2015
"Circumbinary habitability nichesPA Mason, JI Zuluaga, PA Cuartas-Restrepo, JM Clark
International Journal of Astrobiology 14 (03), 391-400",1,2015
"La conceptualización del campo eléctrico y magnético. Análisis de las concepciones de los estudiantesBEO Velez, JA Osorio, LS Mejía, GE Campillo, R Covaleda
Revista CINTEX 20 (1)",,2015
"Non-Bragg-gap solitons in one-dimensional Kerr-metamaterial Fibonacci heterostructuresE Reyes-Gómez, SB Cavalcanti, LE Oliveira
Physical Review E 91 (6), 063205",,2015
"Psychophysical evaluation of the light sword optical element (LSOE) without axial symmetry for presbyopia compensationW Torres, A Mira, JF Barrera, R Henao, A Kolodziejczyk
Investigative Ophthalmology & Visual Science 56 (7), 2981-2981",,2015
"Quantum process tomography by 2D fluorescence spectroscopyLA Pachón, AH Marcus, A Aspuru-Guzik
The Journal of chemical physics 142 (21), 212442",,2015
"The Aristarchus Campaigns: Collaboratively measuring the Solar SystemJI Zuluaga, JC Figueroa
A Global Audience for the New Race to the Moon, 23",,2015
"Nonlinear optical rectification and second-harmonic generation in a semi-parabolic quantum well under intense laser field: Effects of electric and magnetic fieldsF Ungan, JC Martínez-Orozco, RL Restrepo, ME Mora-Ramos, ...
Superlattices and Microstructures 81, 26-33",13,2015
"Graphene samples preparation and some possible uses in developing optical communication devicesJDZ Caro, AMC Soto, RH Henao, EAT de Souza
Revista Facultad de Ingeniería, 108-117",,2015
"Alternative $ Z'$ Bosons in $ E_6$E Rojas, J Erler
arXiv preprint arXiv:1505.03208",,2015
"Galaxy Cluster Mass Reconstruction Project–II. Quantifying scatter and bias using contrasting mock cataloguesL Old, R Wojtak, GA Mamon, RA Skibba, FR Pearce, D Croton, S Bamford, ...
Monthly Notices of the Royal Astronomical Society 449 (2), 1897-1920",13,2015
"Studying the YMC population of M83: how long clusters remain embedded, their interaction with the ISM and implications for GC formation theoriesK Hollyhead, N Bastian, A Adamo, E Silva-Villa, J Dale, JE Ryon, Z Gazak
Monthly Notices of the Royal Astronomical Society 449 (1), 1106-1117",14,2015
"Assessment of imaging with extended depth-of-field by means of the light sword lens in terms of visual acuity scaleK Kakarenko, I Ducin, K Grabowiecki, Z Jaroszewicz, A Kolodziejczyk, ...
Biomedical optics express 6 (5), 1738-1748",,2015
"Mapping and Controlling Ultrafast Dynamics of Highly Excited D2+ by Attosecond XUV RadiationP Ranitovic, C Hogle, L Martin, RY Bello, A Palacios, JL Sanz-Vicario, ...
APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 1, 4005",,2015
"Information and entanglement measures applied to the analysis of complexity in doubly excited states of heliumJPR Cuartas, JL Sanz-Vicario
Physical Review A 91 (5), 052301",5,2015
"Electron-related optical properties in T-shaped AlxGa1− xAs/GaAs quantum wires and dotsJC Martínez-Orozco, ME Mora-Ramos, CA Duque
The European Physical Journal B 88 (5), 1-9",,2015
"Bridging the gap between discrete and continuous magnetic models in the scaling approachEA Velásquez, J Mazo-Zuluaga, P Vargas, J Mejía-López
Physical Review B 91 (13), 134418",,2015
"A novel method for identifying exoplanetary ringsJI Zuluaga, DM Kipping, M Sucerquia, JA Alvarado
The Astrophysical Journal Letters 803 (1), L14",6,2015
"La enseñanza y el aprendizaje del electromagnetismo: una breve revisión de las investigaciones en este campoBE Osorio, JA Osorio, LE Mejía, GE Campillo, R Covaleda
Revista CINTEX 17",1,2015
"Electromagnetically-Induced Frame-Dragging around Astrophysical ObjectsAFG Ruiz, LA Pachón
arXiv preprint arXiv:1504.01763",,2015
"High‐pressure effects on the intersubband optical absorption coefficient and relative refractive index change in an asymmetric double δ‐doped GaAs quantum wellKA Rodríguez‐Magdaleno, JC Martínez‐Orozco, I Rodríguez‐Vargas, ...
physica status solidi (b) 252 (4), 683-688",,2015
"Exciton‐related optical properties in zinc‐blende GaN/InGaN quantum wells under hydrostatic pressureCM Duque, AL Morales, ME Mora‐Ramos, CA Duque
physica status solidi (b) 252 (4), 670-677",,2015
"Shallow‐impurity‐related binding energy and linear optical absorption in ring‐shaped quantum dots and quantum‐well wires under applied electric fieldSAA Kohl, RL Restrepo, ME Mora‐Ramos, CA Duque
physica status solidi (b) 252 (4), 786-794",1,2015
"Quantum limit for driven linear non-Markovian open-quantum-systemsAF Estrada, LA Pachón
New Journal of Physics 17 (3), 033038",13,2015
"Searches for light-and heavy-flavour three-jet resonances in pp collisions at s= 8 TeVH Pieta, S Thüer, M Weber, D Bloch, F Drouhin, P Juillot, N Beaupere, ...
Elsevier",,2015
"Combined effects of intense laser field, electric and magnetic fields on the nonlinear optical properties of the step-like quantum wellE Kasapoglu, CA Duque, ME Mora-Ramos, RL Restrepo, F Ungan, ...
Materials Chemistry and Physics 154, 170-175",1,2015
"LHC constraints on 3-3-1 modelsC Salazar, RH Benavides, WA Ponce, E Rojas
arXiv preprint arXiv:1503.03519",4,2015
"Lepton number violation and neutrino masses in 3-3-1 modelsRH Benavides, LN Epele, H Fanchiotti, C García Canal, WA Ponce
Advances in High Energy Physics 2015",,2015
"No evidence for significant age spreads in young massive LMC clustersF Niederhofer, M Hilker, N Bastian, E Silva-Villa
Astronomy & Astrophysics 575, A62",14,2015
"Effect of wavelength on metrological characteristics of non-holographic fiber specklegram sensorVH Aristizabal, A Hoyos, E Rueda, ND Gomez, JA Gomez
Photonic Sensors 5 (1), 1-5",,2015
"On some new effects in delta-doped QWsV Tulupenko, CA Duque, R Demediuk, V Belykh, A Tiutiunnyk, ...
Physica E: Low-dimensional Systems and Nanostructures 66, 162-169",2,2015
"Directional dependence of the local estimation of H0 and the nonperturbative effects of primordial curvature perturbationsAE Romano, SA Vallejo
EPL (Europhysics Letters) 109 (3), 39002",1,2015
"Generation of optical vortices by using binary vortex producing lensesN Londoño, E Rueda, JA Gómez, A Lencina
Applied optics 54 (4), 796-801",2,2015
"The effects of intense laser field and applied electric and magnetic fields on optical properties of an asymmetric quantum wellRL Restrepo, F Ungan, E Kasapoglu, ME Mora-Ramos, AL Morales, ...
Physica B: Condensed Matter 457, 165-171",1,2015
"Sizes and Shapes of Young, Massive Star Clusters in M83JE Ryon, N Bastian, A Adamo, E Silva-Villa, JS Gallagher
American Astronomical Society Meeting Abstracts 225",,2015
"How well can we measure galaxy cluster masses using galaxies as tracers?L Old, RA Skibba, F Pearce, D Croton, S Muldrew, JC Munoz-Cuartas, ...
American Astronomical Society Meeting Abstracts 225",,2015
"Molecular structure of one-electron diatomic molecules subject to plasma screening and its effect on the dynamicsAF Ordóñez-Lasso, JL Sanz-Vicario, F Martín
Journal of Physics: Conference Series 635 (7), 072084",,2015
"Mapping ultrafast dynamics of highly excited D2+ by ultrashort XUV pump-IR probe radiationR Bello, LS Martin, CW Hogle, A Palacios, JL Sanz-Vicario, XM Tong, ...
Journal of Physics: Conference Series 635 (11), 112080",,2015
"Plasma screening effects in molecular hydrogen: modified energies and lifetimes of doubly excited statesAF Ordóñez-Lasso, JL Sanz-Vicario, F Martín
Journal of Physics: Conference Series 635 (7), 072026",,2015
"Refraction index modulation induced with transverse electric field in double tunnel-coupled GaAs/AlGaAs quantum wellsAA Shumilov, MY Vinnichenko, RM Balagula, LE Vorobjev, DA Firsov, ...
Journal of Physics: Conference Series 643 (1), 012076",,2015
"High Pressure in Semiconductor PhysicsME Mora-Ramos, CA Duque
Phys. Status Solidi B 252 (4), 645-648",,2015
"Habitability of Planets Orbiting Binaries Consisting of Solar Mass TwinsPA Mason, JI Zuluaga, AG Zhilkin, DV Bisikalo
American Astronomical Society Meeting Abstracts 225",,2015
